Number_ID,Day,Number,Plate_ID,Time,Strain,GFP,RFP,Pillar_angle,Pillar_height,Pillar_length,Base_length,Straight_height,Titled_height,Width,Proportion,Tower
1,8,1,2,1.5,A+B,B,A,3.348,3.307,3.072,0.261,1.033,0.994,0.261,50/50,
2,8,2,4,1.5,A+B,B,A,2.62,2.56,3.895,0.196,1,1.001,0.272,50/50,
3,8,3,5,1.5,A+C,C,A,2.62,2.569,2.911,0.38,0.837,0.831,0.217,50/50,
4,8,4,1,2,A+C,C,A,2.913,2.884,3.024,0.109,0.781,0.816,0.098,50/50,
5,8,5,2,2,A+B,B,A,3.348,3.307,3.072,0.293,1.13,1.263,0.239,50/50,
6,8,6,5,2,A+C,C,A,2.62,2.569,2.911,0.261,1.565,1.523,0.38,50/50,
7,8,7,6,2,A+B,B,A,2.587,2.565,2.43,0.207,0.924,0.946,0.185,50/50,
8,8,8,1,3,A+C,C,A,2.913,2.884,3.024,0.207,0.717,0.85,0.25,50/50,
9,8,9,2,3,A+B,B,A,3.348,3.307,3.072,0.261,1.185,1.21,0.142,50/50,
10,8,10,4,3,A+B,B,A,2.62,2.56,3.895,0.163,1.228,1.276,0.25,50/50,
11,8,11,5,3,A+C,C,A,2.62,2.569,2.911,0.293,1.75,1.764,0.478,50/50,
12,8,12,6,3,A+B,B,A,2.587,2.565,2.43,0.163,0.848,0.807,0.228,50/50,
13,9,1,13,1,A+C,C,A,-5.618,2.674,2.655,0.326,0.783,0.786,0.185,50/50,
14,9,2,12,1.5,A+B,B,A,5.803,2.707,2.688,0.38,1.957,1.998,0.37,50/50,
15,9,3,13,1.5,A+C,C,A,-5.618,2.674,2.655,0.304,1.446,1.466,0.283,50/50,
16,9,4,14,1.5,A+C,C,A,2.148,2.663,2.611,0.185,0.815,0.819,0.12,50/50,
17,9,5,15,1.5,A+B,B,A,-12.67,2.837,2.874,0.163,1.272,1.297,0.207,50/50,
18,9,6,16,1.5,A+C,C,A,-1.983,2.859,2.828,0.207,1.38,1.339,0.207,50/50,
19,9,7,18,1.5,A+B,B,A,9.746,2.913,2.89,0.228,2.5,2.568,0.141,50/50,
20,9,8,11,2,A+B,B,A,0.888,2.837,2.805,0.174,1.38,1.381,0.174,50/50,
21,9,9,12,2,A+B,B,A,5.803,2.707,2.688,0.217,1.511,1.544,0.381,50/50,
22,9,10,14,2,A+C,C,A,2.148,2.663,2.611,0.109,0.989,0.979,0.12,50/50,
23,9,11,16,2,A+C,C,A,-1.983,2.859,2.828,0.196,1.978,2,0.25,50/50,
24,9,12,18,2,A+B,B,A,9.746,2.913,2.89,0.152,1.228,1.266,0.217,50/50,
25,9,13,11,3,A+B,B,A,0.888,2.837,2.805,0.29,1.043,1.044,0.185,50/50,Yes
26,9,14,12,3,A+B,B,A,5.803,2.707,2.688,0.391,1.978,1.968,0.348,50/50,Yes
27,9,15,14,3,A+C,C,A,2.148,2.663,2.611,0.185,0.935,1.011,0.152,50/50,
28,9,16,15,3,A+B,B,A,-12.67,2.837,2.874,0.185,1.011,0.96,0.304,50/50,Yes
29,9,17,16,3,A+C,C,A,-1.983,2.859,2.828,0.261,2.239,2.228,0.12,50/50,
30,9,18,18,3,A+B,B,A,9.746,2.913,2.89,0.185,0.837,0.799,0.196,50/50,
31,10,1,15,1,A+B,B,A,1.909,3.283,3.263,0.217,0.511,0.635,0.152,50/50,
32,10,2,18,1,A+B,A,B,-6.65,2.467,2.44,0.13,0.359,0.361,0.043,50/50,
33,10,3,20,1,A+C,C,A,-3.616,2.946,2.93,0.239,0.641,0.643,0.196,50/50,
34,10,4,1,1.5,A+B,B,A,-2.691,2.446,2.546,0.185,1.293,1.175,0.38,50/50,
35,10,5,3,1.5,A+B,B,A,-5.831,2.511,2.568,0.25,0.957,0.899,0.13,50/50,
36,10,6,4,1.5,A+C,A,C,7.452,2.641,2.598,0.163,0.935,0.96,0.174,50/50,
37,10,7,5,1.5,A+B,B,A,-0.591,3.185,3.163,0.174,0.88,0.935,0.228,50/50,
38,10,8,7,1.5,A+C,C,A,-5.194,2.859,2.641,0.196,1.359,1.299,0.228,50/50,
39,10,9,8,1.5,A+B,A,B,5.877,2.967,2.972,0.109,1.337,1.358,0.348,50/50,
40,10,10,9,1.5,A+C,A,C,2.736,3.337,3.188,0.207,1.272,1.25,0.261,50/50,
41,10,11,10,1.5,A+B,B,A,-14.601,2.598,2.673,0.141,2.467,2.454,0.239,50/50,
42,10,12,12,1.5,A+B,B,A,-1.198,3.174,3.12,0.293,1.435,1.38,0.424,50/50,
43,10,13,13,1.5,A+B,A,B,13.036,2.185,2.265,0.272,0.913,0.973,0.217,50/50,
44,10,14,14,1.5,A+B,B,A,0,3.467,3.641,0.217,1.359,1.396,0.283,50/50,
45,10,15,15,1.5,A+B,B,A,1.909,3.283,3.263,0.152,1.217,1.109,0.228,50/50,
46,10,16,17,1.5,A+B,B,A,-16.189,3.12,3.158,0.207,2.804,2.997,0.257,50/50,
47,10,17,18,1.5,A+B,A,B,-6.65,2.467,2.44,0.152,0.935,0.742,0.152,50/50,
48,10,18,20,1.5,A+C,C,A,-3.616,2.946,2.93,0.261,2.478,2.544,0.6,50/50,
49,10,19,1,2,A+B,B,A,-2.691,2.446,2.546,0.196,2,1.986,0.38,50/50,
50,10,20,4,2,A+C,A,C,7.452,2.641,2.598,0.174,0.826,0.855,0.207,50/50,
51,10,21,6,2,A+B,B,A,-2.779,3.446,3.363,0.196,1.413,1.386,0.304,50/50,
52,10,22,7,2,A+C,C,A,-5.194,2.859,2.641,0.163,1.304,1.304,0.163,50/50,
53,10,23,10,2,A+B,B,A,-14.601,2.598,2.673,0.122,0.826,0.851,0.145,50/50,
54,10,24,12,2,A+B,B,A,-1.198,3.174,3.12,0.217,1.239,1.213,0.283,50/50,
55,10,25,13,2,A+B,A,B,13.036,2.185,2.265,0.261,1.946,1.988,0.258,50/50,
56,10,26,14,2,A+B,B,A,0,3.467,3.641,0.141,1.413,1.381,0.141,50/50,
57,10,27,15,2,A+B,B,A,1.909,3.283,3.263,0.228,0.728,0.686,0.109,50/50,
58,10,28,17,2,A+B,B,A,-16.189,3.12,3.158,0.141,2.88,2.925,0.13,50/50,
59,10,29,20,2,A+C,C,A,-3.616,2.946,2.93,0.228,2.913,2.939,0.272,50/50,
60,10,30,1,3,A+B,B,A,-2.691,2.446,2.546,0.152,2.402,2.349,0.402,50/50,
61,10,31,3,3,A+B,B,A,-5.831,2.511,2.568,0.076,0.783,0.755,0.117,50/50,
62,10,32,4,3,A+C,A,C,7.452,2.641,2.598,0.098,0.935,0.946,0.113,50/50,
63,10,33,5,3,A+B,B,A,-0.591,3.185,3.163,0.109,1.229,1.228,0.25,50/50,
64,10,34,6,3,A+B,B,A,-2.779,3.446,3.363,0.217,2.685,2.709,0.37,50/50,
65,10,35,7,3,A+C,C,A,-5.194,2.859,2.641,0.12,2.38,2.406,0.283,50/50,
66,10,36,8,3,A+B,A,B,5.877,2.967,2.972,0.13,2.174,2.231,0.12,50/50,
67,10,37,9,3,A+C,A,C,2.736,3.337,3.188,0.142,0.728,0.878,0.087,50/50,
68,10,38,10,3,A+B,B,A,-14.601,2.598,2.673,0.152,2.196,2.297,0.206,50/50,
69,10,39,12,3,A+B,B,A,-1.198,3.174,3.12,0.248,1.152,1.079,0.248,50/50,
70,10,40,13,3,A+B,A,B,13.036,2.185,2.265,0.185,2.109,2.075,0.504,50/50,
71,10,41,14,3,A+B,B,A,0,3.467,3.641,0.13,1.196,1.164,0.229,50/50,
72,10,42,15,3,A+B,B,A,1.909,3.283,3.263,0.217,0.793,0.794,0.098,50/50,
