Number_ID,Number,Day,Plate_ID,Time,Strain,Base_length,Straight_height,Titled_height,Width,Pillar_length,Pillar_angle,Pillar_height,Tower
1,1,1,6,1,CB4856,0.393,0.820,0.774,0.203,3.313,0.208,3.325,
2,2,1,14,1,CB4856,0.349,1.910,1.889,0.348,2.724,1.774,2.807,
3,3,1,23,1,ED3017,0.427,1.483,1.577,0.360,2.547,6.520,2.723,
4,4,1,28,1,JU775,0.494,1.708,1.664,0.337,2.727,3.292,2.723,
5,5,1,30,1,N2,0.326,1.483,1.462,0.101,2.183,10.814,2.108,
6,6,1,1,1.5,EG4725,0.371,1.011,1.115,0.292,3.122,10.226,3.181,
7,7,1,3,1.5,JT11398,0.461,1.573,1.634,0.371,3.342,8.919,3.422,
8,8,1,4,1.5,MY16,0.438,1.112,1.035,0.225,3.565,4.458,3.554,
9,9,1,6,1.5,CB4856,0.494,1.854,1.869,0.449,3.313,0.208,3.325,
10,10,1,7,1.5,LKC34,0.663,1.753,1.645,0.517,3.523,5.691,3.542,
11,11,1,9,1.5,JU258,0.461,1.528,1.522,0.225,2.374,-5.826,2.337,
12,12,1,10,1.5,EG4725,0.539,1.225,1.278,0.202,1.932,17.418,1.843,
13,13,1,11,1.5,JT11398,0.292,0.955,1.011,0.090,4.065,4.065,2.301,
14,14,1,12,1.5,MY16,0.528,1.910,2.067,0.573,2.868,-1.444,2.892,
15,15,1,13,1.5,JU258,0.461,1.989,2.034,0.247,3.148,-2.632,3.157,
16,16,1,14,1.5,CB4856,0.326,1.685,1.787,0.539,2.724,1.774,2.807,
17,17,1,15,1.5,LKC34,0.416,2.079,2.007,0.427,2.852,-14.682,2.807,
18,18,1,16,1.5,N2,0.371,1.034,1.068,0.202,3.542,0.779,3.530,
19,19,1,17,1.5,N2,0.483,1.146,1.126,0.427,2.617,6.078,2.446,
20,20,1,19,1.5,JU775,0.382,1.416,1.457,0.180,2.386,-0.289,2.442,
21,21,1,20,1.5,MY16,0.506,1.438,1.495,0.618,2.930,-5.664,2.904,
22,22,1,21,1.5,CX11314,0.382,1.697,1.640,0.270,2.576,5.097,2.614,
23,23,1,22,1.5,LKC34,0.427,2.236,2.236,0.573,2.846,-7.787,2.783,
24,24,1,23,1.5,ED3017,0.427,2.045,2.101,0.528,2.547,6.520,2.723,
25,25,1,25,1.5,MY23,0.719,2.180,2.247,0.292,2.838,11.262,2.831,
26,26,1,26,1.5,EG4725,0.337,1.528,1.644,0.404,3.020,-4.118,2.988,
27,27,1,27,1.5,CX11314,0.360,1.315,1.416,0.337,2.686,-0.517,2.747,
28,28,1,28,1.5,JU775,0.404,2.090,2.084,0.494,2.727,3.292,2.723,
